"Downloaded on",02/27/2024,"22:09:49 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title
"H.Res. 388",https://www.congress.gov/bill/117th-congress/house-resolution/388,"117th Congress (2021-2022)","Expressing the sense of the House of Representatives that President Biden's gun policies are unconstitutional and should never be approved."
"H.R. 7973",https://www.congress.gov/bill/117th-congress/house-bill/7973,"117th Congress (2021-2022)","Firearm Training and Proficiency Act"
"H.R. 3143",https://www.congress.gov/bill/117th-congress/house-bill/3143,"117th Congress (2021-2022)","Buyback Our Safety Act"
"S. 788",https://www.congress.gov/bill/117th-congress/senate-bill/788,"117th Congress (2021-2022)","Firearms Safety Act"
"H.R. 8871",https://www.congress.gov/bill/117th-congress/house-bill/8871,"117th Congress (2021-2022)","SAFES Act"
"H.R. 7910",https://www.congress.gov/bill/117th-congress/house-bill/7910,"117th Congress (2021-2022)","Protecting Our Kids Act"
"H.R. 1534",https://www.congress.gov/bill/117th-congress/house-bill/1534,"117th Congress (2021-2022)","Protecting the Right to Keep and Bear Arms Act of 2021"
"H.R. 2830",https://www.congress.gov/bill/117th-congress/house-bill/2830,"117th Congress (2021-2022)","GRAM Act"
"S. 1916",https://www.congress.gov/bill/117th-congress/senate-bill/1916,"117th Congress (2021-2022)","Protecting the Right To Keep and Bear Arms Act of 2021"
"H.R. 3299",https://www.congress.gov/bill/117th-congress/house-bill/3299,"117th Congress (2021-2022)","Protecting Our Communities Act"
"H.R. 3252",https://www.congress.gov/bill/117th-congress/house-bill/3252,"117th Congress (2021-2022)","Federal Firearms Licensee Protection Act"
"H.R. 8460",https://www.congress.gov/bill/117th-congress/house-bill/8460,"117th Congress (2021-2022)","AIM Act"
"S. 4582",https://www.congress.gov/bill/117th-congress/senate-bill/4582,"117th Congress (2021-2022)","AIM Act of 2022"
"H.R. 647",https://www.congress.gov/bill/117th-congress/house-bill/647,"117th Congress (2021-2022)","Closing the Loophole on Interstate Firearm Sales Act"
"H.R. 993",https://www.congress.gov/bill/117th-congress/house-bill/993,"117th Congress (2021-2022)","Second Amendment Preservation Act"
"S. 1558",https://www.congress.gov/bill/117th-congress/senate-bill/1558,"117th Congress (2021-2022)","Untraceable Firearms Act of 2021"
"H.R. 3088",https://www.congress.gov/bill/117th-congress/house-bill/3088,"117th Congress (2021-2022)","Untraceable Firearms Act of 2021"
"H.R. 7415",https://www.congress.gov/bill/117th-congress/house-bill/7415,"117th Congress (2021-2022)","Safe Students Act"
