Name,Session,Date of Introduction,Party of Sponsors,Classification,VADER Sentiment Score,TextBlob Sentiment Score
H.R. 3300,106,11/10/1999,Democratic,control,-0.9904,0.03943654770426426
H.R. 4425,106,05/11/2000,Republican,rights,-0.9998,0.04716981942447928
H.R. 515,106,02/03/1999,Democratic,control,-0.9942,0.03288113695090439
S. 1898,106,11/09/1999,Democratic,control,-0.9997,-0.1725936329588016
S. 899,106,04/28/1999,Republican,control,-1.0,0.011125197459173213
H.R. 4915,106,07/20/2000,Democratic,control,-0.5742,-0.016878531073446314
S. 1180,106,05/27/1999,Democratic,control,1.0,0.11153916280258472
H.Con.Res. 68,106,03/23/1999,Republican,control,0.9999,-0.09818173360222256
H.Con.Res. 290,106,03/20/2000,Republican,control,1.0,-0.05698038468687431
H.R. 4635,106,06/12/2000,Republican,control,1.0,0.07427785038522036
S. 2,106,01/19/1999,Republican,control,1.0,0.10194033493703017
H.R. 5548,106,10/25/2000,Republican,rights,1.0,0.05851663329696845
S. 1969,106,11/18/1999,Republican,rights,0.9999,0.04752802592397959
S. 2553,106,05/12/2000,Republican,control,1.0,0.08360961740067945
S. 1650,106,09/28/1999,Republican,control,1.0,0.08200833226532249
S. 1282,106,06/24/1999,Republican,control,1.0,0.04672314717930814
S. 3046,106,09/14/2000,Republican,control,1.0,0.048279855450659694
S. 2900,106,07/20/2000,Republican,control,1.0,0.05735224098527169
H.R. 3037,106,10/07/1999,Republican,rights,1.0,0.07162564015505199
S. 5,106,01/19/1999,Republican,control,0.9993,-0.0037180238121098446
S. 2536,106,05/10/2000,Republican,rights,0.9999,0.06669284239885062
H.R. 3424,106,11/17/1999,Republican,control,1.0,0.07253946883507516
H.R. 4163,106,04/04/2000,Republican,control,0.9999,0.07030549349097727
H.R. 2490,106,07/13/1999,Republican,control,1.0,0.0556108098934455
S. 2481,106,04/27/2000,Republican,control,1.0,0.026754163844846416
H.R. 1401,106,04/14/1999,Republican,rights,1.0,0.021298433768788053
H.R. 5656,106,12/14/2000,Republican,control,1.0,0.07936149674795843
H.R. 3427,106,11/17/1999,Republican,control,1.0,0.033535084390614346
H.R. 2561,106,07/20/1999,Republican,rights,1.0,0.029274760125221854
S. 1122,106,05/25/1999,Republican,control,1.0,0.033932806324110415
H.R. 4942,106,07/25/2000,Republican,control,1.0,0.05106275512791603
H.R. 4577,106,06/01/2000,Republican,control,1.0,0.057646845747735175
S. 2783,106,06/26/2000,Democratic,rights,-1.0,0.004319422456825014
S. 1059,106,05/17/1999,Republican,control,1.0,0.018032216383920507
H.R. 833,106,02/24/1999,Republican,control,1.0,0.05713659787301421
S. 2550,106,05/12/2000,Republican,rights,0.4939,-0.075
H.R. 4578,106,06/01/2000,Republican,rights,1.0,0.05955990702954283
H.R. 3064,106,10/13/1999,Republican,rights,1.0,0.05342343885599285
H.R. 3194,106,11/02/1999,Republican,control,1.0,0.05743741107251827
H.R. 4205,106,04/06/2000,Republican,control,1.0,0.02557726047253549
S. 420,106,02/11/1999,Republican,control,-0.9992,-0.041382275132275145
S.Con.Res. 101,106,03/31/2000,Republican,control,0.9999,-0.02883519295784298
S. 2521,106,05/09/2000,Republican,rights,0.9999,0.016357357317520617
S. 2549,106,05/12/2000,Republican,rights,1.0,0.014382543462391961
