"Downloaded on",04/11/2024,"01:52:02 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%2C%22102%22%2C%22101%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction"
"S. 736",https://www.congress.gov/bill/117th-congress/senate-bill/736,"117th Congress (2021-2022)","Assault Weapons Ban of 2021",Democratic,03/11/2021
"S. 2873",https://www.congress.gov/bill/117th-congress/senate-bill/2873,"117th Congress (2021-2022)","PATHS Act",Democratic,09/28/2021
"S. 4606",https://www.congress.gov/bill/117th-congress/senate-bill/4606,"117th Congress (2021-2022)","Preventing Illegal Weapons Trafficking Act of 2022",Democratic,07/25/2022
"H.R. 4118",https://www.congress.gov/bill/117th-congress/house-bill/4118,"117th Congress (2021-2022)","Break the Cycle of Violence Act",Democratic,06/24/2021
"H.R. 7908",https://www.congress.gov/bill/117th-congress/house-bill/7908,"117th Congress (2021-2022)","PASS Act",Republican,05/27/2022
"S. 2982",https://www.congress.gov/bill/117th-congress/senate-bill/2982,"117th Congress (2021-2022)","Child Suicide Prevention and Lethal Means Safety Act",Democratic,10/07/2021
"H.R. 5035",https://www.congress.gov/bill/117th-congress/house-bill/5035,"117th Congress (2021-2022)","Child Suicide Prevention and Lethal Means Safety Act",Democratic,08/13/2021
"S. 292",https://www.congress.gov/bill/117th-congress/senate-bill/292,"117th Congress (2021-2022)","Extreme Risk Protection Order and Violence Prevention Act of 2021",Republican,02/08/2021
"S. 2275",https://www.congress.gov/bill/117th-congress/senate-bill/2275,"117th Congress (2021-2022)","Break the Cycle of Violence Act",Democratic,06/24/2021
"S. 4501",https://www.congress.gov/bill/117th-congress/senate-bill/4501,"117th Congress (2021-2022)","Concealed Carry Reciprocity Act",Republican,07/11/2022
"S. 1775",https://www.congress.gov/bill/117th-congress/senate-bill/1775,"117th Congress (2021-2022)","Protecting Communities and Preserving the Second Amendment Act of 2021",Republican,05/20/2021
"H.R. 1008",https://www.congress.gov/bill/117th-congress/house-bill/1008,"117th Congress (2021-2022)","Handgun Trigger Safety Act of 2021",Democratic,02/11/2021
"H.R. 38",https://www.congress.gov/bill/117th-congress/house-bill/38,"117th Congress (2021-2022)","Concealed Carry Reciprocity Act",Republican,01/04/2021
"H.R. 130",https://www.congress.gov/bill/117th-congress/house-bill/130,"117th Congress (2021-2022)","Kimberly Vaughan Firearm Safe Storage Act",Democratic,01/04/2021
"H.R. 3960",https://www.congress.gov/bill/117th-congress/house-bill/3960,"117th Congress (2021-2022)","Brian A. Terry Memorial Eliminate the ATF Act",Republican,06/17/2021
"S. 591",https://www.congress.gov/bill/117th-congress/senate-bill/591,"117th Congress (2021-2022)","Background Check Completion Act of 2021",Democratic,03/04/2021
"H.R. 1004",https://www.congress.gov/bill/117th-congress/house-bill/1004,"117th Congress (2021-2022)","Firearm Risk Protection Act of 2021",Democratic,02/11/2021
"H.R. 135",https://www.congress.gov/bill/117th-congress/house-bill/135,"117th Congress (2021-2022)","Accidental Firearms Transfers Reporting Act of 2021",Democratic,01/04/2021
"H.R. 1961",https://www.congress.gov/bill/117th-congress/house-bill/1961,"117th Congress (2021-2022)","ATF Accountability Act of 2021",Republican,03/17/2021
"H.R. 4992",https://www.congress.gov/bill/117th-congress/house-bill/4992,"117th Congress (2021-2022)","21 to Buy Act",Democratic,08/10/2021
"S. 1920",https://www.congress.gov/bill/117th-congress/senate-bill/1920,"117th Congress (2021-2022)","ATF Accountability Act of 2021",Republican,05/27/2021
"S. 1373",https://www.congress.gov/bill/117th-congress/senate-bill/1373,"117th Congress (2021-2022)","SAME Act",Republican,04/27/2021
"H.R. 2890",https://www.congress.gov/bill/117th-congress/house-bill/2890,"117th Congress (2021-2022)","SAFER Voter Act",Republican,04/28/2021
"H.R. 1787",https://www.congress.gov/bill/117th-congress/house-bill/1787,"117th Congress (2021-2022)","Ensuring Second Amendment Freedoms are Executed Timely Act",Republican,03/11/2021
"H.R. 6722",https://www.congress.gov/bill/117th-congress/house-bill/6722,"117th Congress (2021-2022)","To designate the Department of Veterans Affairs community-based outpatient clinic in French Camp, California, as the ""Richard A. Pittman VA Clinic"".",Democratic,02/15/2022
"S. 2725",https://www.congress.gov/bill/117th-congress/senate-bill/2725,"117th Congress (2021-2022)","Accountability for Online Firearms Marketplaces Act of 2021",Democratic,09/13/2021
"H.R. 7819",https://www.congress.gov/bill/117th-congress/house-bill/7819,"117th Congress (2021-2022)","Accountability for Online Firearms Marketplaces Act of 2022",Democratic,05/18/2022
"H.Res. 820",https://www.congress.gov/bill/117th-congress/house-resolution/820,"117th Congress (2021-2022)","Expressing support for the designation of May 18 as ""National Day of Healing"".",Democratic,11/23/2021
"H.R. 1782",https://www.congress.gov/bill/117th-congress/house-bill/1782,"117th Congress (2021-2022)","Empowering Law Enforcement for Safer Firearm Transfers Act of 2021",Democratic,03/10/2021
"H.Res. 1227",https://www.congress.gov/bill/117th-congress/house-resolution/1227,"117th Congress (2021-2022)","Urging the development of a strategy to counter the rise in violent crime across the United States.",Republican,07/14/2022
"S.Res. 636",https://www.congress.gov/bill/117th-congress/senate-resolution/636,"117th Congress (2021-2022)","A resolution urging the development of a strategy to counter the rise in violent crime across the United States.",Republican,05/16/2022
"H.Res. 1293",https://www.congress.gov/bill/117th-congress/house-resolution/1293,"117th Congress (2021-2022)","Recognizing and honoring Elisjsha Dicken for his demonstration of courage, self-sacrifice, and fidelity to his fellow Americans.",Republican,07/28/2022
"H.R. 5427",https://www.congress.gov/bill/117th-congress/house-bill/5427,"117th Congress (2021-2022)","Closing the Bump Stock Loophole Act of 2021",Democratic,09/29/2021
"S. 529",https://www.congress.gov/bill/117th-congress/senate-bill/529,"117th Congress (2021-2022)","Background Check Expansion Act",Democratic,03/02/2021
"H.R. 6225",https://www.congress.gov/bill/117th-congress/house-bill/6225,"117th Congress (2021-2022)","Federal Firearm Licensee Act",Democratic,12/09/2021
"H.Res. 1414",https://www.congress.gov/bill/117th-congress/house-resolution/1414,"117th Congress (2021-2022)","Expressing the sense of the House of Representatives that firearms should not be present at any Federal election site.",Democratic,09/30/2022
"H.Res. 1425",https://www.congress.gov/bill/117th-congress/house-resolution/1425,"117th Congress (2021-2022)","Supporting the goals and ideals of ""National Nonviolence Week"" to raise awareness of youth violence in the United States.",Democratic,10/04/2022
"H.Res. 715",https://www.congress.gov/bill/117th-congress/house-resolution/715,"117th Congress (2021-2022)","Supporting the goals and ideals of ""National Nonviolence Week"" to raise awareness of youth violence in the United States.",Democratic,10/08/2021
"S. 190",https://www.congress.gov/bill/117th-congress/senate-bill/190,"117th Congress (2021-2022)","Ethan's Law",Democratic,02/03/2021
"H.R. 7904",https://www.congress.gov/bill/117th-congress/house-bill/7904,"117th Congress (2021-2022)","Multiple Firearm Sales Reporting Modernization Act of 2022",Democratic,05/27/2022
