"Downloaded on",04/11/2024,"01:52:02 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%2C%22102%22%2C%22101%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction"
"H.Res. 635",https://www.congress.gov/bill/113th-congress/house-resolution/635,"113th Congress (2013-2014)","Dog Ate My Tax Receipts Resolution",Republican,06/20/2014
"S. 1908",https://www.congress.gov/bill/113th-congress/senate-bill/1908,"113th Congress (2013-2014)","Constitutional Concealed Carry Reciprocity Act of 2014",Republican,01/09/2014
"H.R. 578",https://www.congress.gov/bill/113th-congress/house-bill/578,"113th Congress (2013-2014)","Respecting States' Rights and Concealed Carry Reciprocity Act of 2013",Republican,02/06/2013
"S. 2128",https://www.congress.gov/bill/113th-congress/senate-bill/2128,"113th Congress (2013-2014)","A bill to name the Department of Veterans Affairs medical center in Waco, Texas, as the ""Doris Miller Department of Veterans Affairs Medical Center"".",Republican,03/13/2014
"H.Res. 134",https://www.congress.gov/bill/113th-congress/house-resolution/134,"113th Congress (2013-2014)","Condemning the Democratic People's Republic of Korea for its continuing acts of aggression, its expressed intent to break the July 10, 1953, Korean War Armistice Agreement, and for its repeated violations of United Nations Security Council resolutions.",Republican,03/21/2013
"S.Res. 69",https://www.congress.gov/bill/113th-congress/senate-resolution/69,"113th Congress (2013-2014)","A resolution calling for the protections of religious minority rights and freedoms in the Arab world.",Republican,03/07/2013
"H.Res. 40",https://www.congress.gov/bill/113th-congress/house-resolution/40,"113th Congress (2013-2014)","Expressing the sense of the House of Representatives that active duty military personnel who are stationed or residing in the District of Columbia should be permitted to exercise fully their rights under the Second Amendment to the Constitution of the United States.",Republican,01/22/2013
"H.Res. 106",https://www.congress.gov/bill/113th-congress/house-resolution/106,"113th Congress (2013-2014)","Calling for the protection of religious minority rights and freedoms in the Arab world.",Republican,03/12/2013
"H.R. 427",https://www.congress.gov/bill/113th-congress/house-bill/427,"113th Congress (2013-2014)","Trafficking Reduction And Criminal Enforcement (TRACE) Act",Democratic,01/25/2013
"H.Res. 707",https://www.congress.gov/bill/113th-congress/house-resolution/707,"113th Congress (2013-2014)","Condemning all forms of anti-Semitism and rejecting attempts to justify anti-Jewish hatred or violent attacks as an acceptable expression of disapproval or frustration over political events in the Middle East or elsewhere.",Democratic,07/31/2014
"H.Res. 608",https://www.congress.gov/bill/113th-congress/house-resolution/608,"113th Congress (2013-2014)","Condemning the senseless rampage and mass shooting that took place in Isla Vista, California, on Friday, May 23, 2014.",Democratic,05/30/2014
"S. 174",https://www.congress.gov/bill/113th-congress/senate-bill/174,"113th Congress (2013-2014)","Ammunition Background Check Act of 2013",Democratic,01/29/2013
"H.Res. 714",https://www.congress.gov/bill/113th-congress/house-resolution/714,"113th Congress (2013-2014)","To reaffirm the strong support of the United States Government for the peaceful and collaborative resolution of maritime and jurisdictional disputes in the South China Sea and the East China Sea as provided for by universally recognized principles of international law, and to reaffirm the vital interest of the United States in freedom of navigation and other internationally lawful uses of sea and airspace in the Asia-Pacific region.",Democratic,09/08/2014
"H.R. 5454",https://www.congress.gov/bill/113th-congress/house-bill/5454,"113th Congress (2013-2014)","Targeted Use of Sanctions for Killing Elephants in Their Range Act of 2014",Democratic,09/11/2014
"H.R. 449",https://www.congress.gov/bill/113th-congress/house-bill/449,"113th Congress (2013-2014)","Veterans' Heritage Firearms Act of 2013",Republican,02/01/2013
"H.R. 3335",https://www.congress.gov/bill/113th-congress/house-bill/3335,"113th Congress (2013-2014)","Firearms Interstate Commerce Reform Act",Republican,10/23/2013
"H.R. 5747",https://www.congress.gov/bill/113th-congress/house-bill/5747,"113th Congress (2013-2014)","To authorize the direct provision of defense articles, defense services, and related training to the Kurdistan Regional Government, and for other purposes.",Republican,11/20/2014
"H.R. 5647",https://www.congress.gov/bill/113th-congress/house-bill/5647,"113th Congress (2013-2014)","UNRWA Anti-Terrorism Act",Republican,09/18/2014
"H.R. 34",https://www.congress.gov/bill/113th-congress/house-bill/34,"113th Congress (2013-2014)","Blair Holt's Firearm Licensing and Record of Sale Act of 2013",Democratic,01/03/2013
"S. 2254",https://www.congress.gov/bill/113th-congress/senate-bill/2254,"113th Congress (2013-2014)","COPS Improvements Act of 2014",Democratic,04/10/2014
"H.R. 673",https://www.congress.gov/bill/113th-congress/house-bill/673,"113th Congress (2013-2014)","North Korea Sanctions and Diplomatic Nonrecognition Act of 2013",Republican,02/13/2013
"S. 1038",https://www.congress.gov/bill/113th-congress/senate-bill/1038,"113th Congress (2013-2014)","End Racial Profiling Act of 2013",Democratic,05/23/2013
"H.R. 2851",https://www.congress.gov/bill/113th-congress/house-bill/2851,"113th Congress (2013-2014)","End Racial Profiling Act of 2013",Democratic,07/30/2013
"S. 2277",https://www.congress.gov/bill/113th-congress/senate-bill/2277,"113th Congress (2013-2014)","Russian Aggression Prevention Act of 2014",Republican,05/01/2014
"S. 1197",https://www.congress.gov/bill/113th-congress/senate-bill/1197,"113th Congress (2013-2014)","National Defense Authorization Act for Fiscal Year 2014",Democratic,06/20/2013
"S. 1101",https://www.congress.gov/bill/113th-congress/senate-bill/1101,"113th Congress (2013-2014)","Every Child Ready for College or Career Act of 2013",Republican,06/06/2013
"H.R. 4495",https://www.congress.gov/bill/113th-congress/house-bill/4495,"113th Congress (2013-2014)","Asia-Pacific Region Priority Act",Republican,04/28/2014
"H.R. 808",https://www.congress.gov/bill/113th-congress/house-bill/808,"113th Congress (2013-2014)","Department of Peacebuilding Act of 2013",Democratic,02/25/2013
"S. 1284",https://www.congress.gov/bill/113th-congress/senate-bill/1284,"113th Congress (2013-2014)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2014",Democratic,07/11/2013
"H.R. 1860",https://www.congress.gov/bill/113th-congress/house-bill/1860,"113th Congress (2013-2014)","Criminal Code Modernization and Simplification Act of 2013",Republican,05/07/2013
"S. 2410",https://www.congress.gov/bill/113th-congress/senate-bill/2410,"113th Congress (2013-2014)","Carl Levin National Defense Authorization Act for Fiscal Year 2015",Democratic,06/02/2014
"H.R. 3304",https://www.congress.gov/bill/113th-congress/house-bill/3304,"113th Congress (2013-2014)","National Defense Authorization Act for Fiscal Year 2014",Democratic,10/22/2013
"H.Res. 441",https://www.congress.gov/bill/113th-congress/house-resolution/441,"113th Congress (2013-2014)","Providing for the concurrence by the House in the Senate amendments to H.R. 3304, with an amendment.",Republican,12/12/2013
"S. 2437",https://www.congress.gov/bill/113th-congress/senate-bill/2437,"113th Congress (2013-2014)","Commerce, Justice, Science, and Related Agencies Appropriations Act, 2015",Democratic,06/05/2014
"H.R. 1960",https://www.congress.gov/bill/113th-congress/house-bill/1960,"113th Congress (2013-2014)","National Defense Authorization Act for Fiscal Year 2014",Republican,05/14/2013
"H.R. 4435",https://www.congress.gov/bill/113th-congress/house-bill/4435,"113th Congress (2013-2014)","Howard P. ""Buck"" McKeon National Defense Authorization Act for Fiscal Year 2015",Republican,04/09/2014
"H.R. 3155",https://www.congress.gov/bill/113th-congress/house-bill/3155,"113th Congress (2013-2014)","United Nations Transparency, Accountability, and Reform Act of 2013",Republican,09/19/2013
"H.R. 2124",https://www.congress.gov/bill/113th-congress/house-bill/2124,"113th Congress (2013-2014)","Keeping the Promise of IRCA Act",Democratic,05/23/2013
"H.R. 3979",https://www.congress.gov/bill/113th-congress/house-bill/3979,"113th Congress (2013-2014)","Carl Levin and Howard P. ""Buck"" McKeon National Defense Authorization Act for Fiscal Year 2015",Republican,01/31/2014
"H.R. 4660",https://www.congress.gov/bill/113th-congress/house-bill/4660,"113th Congress (2013-2014)","Commerce, Justice, Science, and Related Agencies Appropriations Act, 2015",Republican,05/15/2014
"S. 1329",https://www.congress.gov/bill/113th-congress/senate-bill/1329,"113th Congress (2013-2014)","Commerce, Justice, Science, and Related Agencies Appropriations Act, 2014",Democratic,07/18/2013
"H.R. 1068",https://www.congress.gov/bill/113th-congress/house-bill/1068,"113th Congress (2013-2014)","To enact title 54, United States Code, ""National Park Service and Related Programs"", as positive law.",Republican,03/12/2013
"H.R. 3895",https://www.congress.gov/bill/113th-congress/house-bill/3895,"113th Congress (2013-2014)","EXPAND Act",Republican,01/16/2014
"S. 1094",https://www.congress.gov/bill/113th-congress/senate-bill/1094,"113th Congress (2013-2014)","Strengthening America's Schools Act of 2013",Democratic,06/04/2013
"H.R. 5",https://www.congress.gov/bill/113th-congress/house-bill/5,"113th Congress (2013-2014)","Student Success Act",Republican,06/06/2013
"H.R. 3547",https://www.congress.gov/bill/113th-congress/house-bill/3547,"113th Congress (2013-2014)","Consolidated Appropriations Act, 2014",Republican,11/20/2013
"H.R. 83",https://www.congress.gov/bill/113th-congress/house-bill/83,"113th Congress (2013-2014)","Consolidated and Further Continuing Appropriations Act, 2015",Democratic,01/03/2013
"S. 2289",https://www.congress.gov/bill/113th-congress/senate-bill/2289,"113th Congress (2013-2014)","National Defense Authorization Act for Fiscal Year 2015",Democratic,05/05/2014
"S. 1034",https://www.congress.gov/bill/113th-congress/senate-bill/1034,"113th Congress (2013-2014)","National Defense Authorization Act for Fiscal Year 2014",Democratic,05/23/2013
"H.R. 933",https://www.congress.gov/bill/113th-congress/house-bill/933,"113th Congress (2013-2014)","Consolidated and Further Continuing Appropriations Act, 2013",Republican,03/04/2013
"S. 309",https://www.congress.gov/bill/113th-congress/senate-bill/309,"113th Congress (2013-2014)","A bill to award a Congressional Gold Medal to the World War II members of the Civil Air Patrol.",Democratic,02/13/2013
"H.R. 755",https://www.congress.gov/bill/113th-congress/house-bill/755,"113th Congress (2013-2014)","To award a Congressional Gold Medal to the World War II members of the Civil Air Patrol.",Republican,02/15/2013
"H.R. 227",https://www.congress.gov/bill/112th-congress/house-bill/227,"112th Congress (2011-2012)","Child Gun Safety and Gun Access Prevention Act of 2011",Democratic,01/07/2011
"H.R. 591",https://www.congress.gov/bill/112th-congress/house-bill/591,"112th Congress (2011-2012)","Gun Show Loophole Closing Act of 2011",Democratic,02/09/2011
"S. 35",https://www.congress.gov/bill/112th-congress/senate-bill/35,"112th Congress (2011-2012)","Gun Show Background Check Act of 2011",Democratic,01/25/2011
"H.R. 6195",https://www.congress.gov/bill/112th-congress/house-bill/6195,"112th Congress (2011-2012)","Detectives Nemorin and Andrews Anti-Gun Trafficking Act of 2012",Republican,07/25/2012
"S. 1973",https://www.congress.gov/bill/112th-congress/senate-bill/1973,"112th Congress (2011-2012)","Gun Trafficking Prevention Act of 2012",Democratic,12/08/2011
"H.R. 4063",https://www.congress.gov/bill/112th-congress/house-bill/4063,"112th Congress (2011-2012)","Guns-Free National Parks Act of 2012",Democratic,02/16/2012
"H.R. 2554",https://www.congress.gov/bill/112th-congress/house-bill/2554,"112th Congress (2011-2012)","Stop Gun Trafficking and Strengthen Law Enforcement Act of 2011",Democratic,07/15/2011
"H.R. 1181",https://www.congress.gov/bill/112th-congress/house-bill/1181,"112th Congress (2011-2012)","Protecting Gun Owners in Bankruptcy Act of 2011",Republican,03/17/2011
"H.R. 1552",https://www.congress.gov/bill/112th-congress/house-bill/1552,"112th Congress (2011-2012)","Preventing Gun Violence Act",Democratic,04/14/2011
"H.R. 1781",https://www.congress.gov/bill/112th-congress/house-bill/1781,"112th Congress (2011-2012)","Fix Gun Checks Act of 2011",Democratic,05/05/2011
"S. 436",https://www.congress.gov/bill/112th-congress/senate-bill/436,"112th Congress (2011-2012)","Fix Gun Checks Act of 2011",Democratic,03/02/2011
"H.R. 6725",https://www.congress.gov/bill/112th-congress/house-bill/6725,"112th Congress (2011-2012)","NRA Members' Gun Safety Act of 2012",Democratic,12/31/2012
"H.R. 2613",https://www.congress.gov/bill/112th-congress/house-bill/2613,"112th Congress (2011-2012)","Citizens Protection Act of 2011",Republican,07/21/2011
"H.R. 645",https://www.congress.gov/bill/112th-congress/house-bill/645,"112th Congress (2011-2012)","Second Amendment Enforcement Act",Democratic,02/10/2011
"S. 2205",https://www.congress.gov/bill/112th-congress/senate-bill/2205,"112th Congress (2011-2012)","Second Amendment Sovereignty Act of 2012",Republican,03/19/2012
"H.R. 5846",https://www.congress.gov/bill/112th-congress/house-bill/5846,"112th Congress (2011-2012)","Second Amendment Sovereignty Act of 2012",Republican,05/18/2012
"S. 2015",https://www.congress.gov/bill/112th-congress/senate-bill/2015,"112th Congress (2011-2012)","Powell Shooting Range Land Conveyance Act",Republican,12/16/2011
"H.R. 6520",https://www.congress.gov/bill/112th-congress/house-bill/6520,"112th Congress (2011-2012)","No Taxpayer-Funded Lobbying Act",Republican,09/21/2012
"H.R. 4269",https://www.congress.gov/bill/112th-congress/house-bill/4269,"112th Congress (2011-2012)","To amend chapter 44 of title 18, United States Code, to more comprehensively address the interstate transportation of firearms or ammunition.",Republican,03/27/2012
"H.R. 2615",https://www.congress.gov/bill/112th-congress/house-bill/2615,"112th Congress (2011-2012)","Second Amendment Protection Act of 2011",Republican,07/21/2011
"H.R. 2252",https://www.congress.gov/bill/112th-congress/house-bill/2252,"112th Congress (2011-2012)","Citizens' Self-Defense Act of 2011",Republican,06/21/2011
"H.Res. 490",https://www.congress.gov/bill/112th-congress/house-resolution/490,"112th Congress (2011-2012)","Expressing no confidence in the Attorney General of the United States.",Republican,12/12/2011
"H.R. 1141",https://www.congress.gov/bill/112th-congress/house-bill/1141,"112th Congress (2011-2012)","Rota Cultural and Natural Resources Study Act",Democratic,03/16/2011
"S. 1959",https://www.congress.gov/bill/112th-congress/senate-bill/1959,"112th Congress (2011-2012)","Haqqani Network Terrorist Designation Act of 2012",Republican,12/07/2011
"H.R. 3543",https://www.congress.gov/bill/112th-congress/house-bill/3543,"112th Congress (2011-2012)","National Right-to-Carry Reciprocity Act of 2011",Republican,12/01/2011
"H.Res. 495",https://www.congress.gov/bill/112th-congress/house-resolution/495,"112th Congress (2011-2012)","Recognizing the November 5, 2009, attack on Fort Hood, Texas, as an act of radical Islamic terrorism and Jihad.",Republican,12/14/2011
"S.Res. 246",https://www.congress.gov/bill/112th-congress/senate-resolution/246,"112th Congress (2011-2012)","A resolution recognizing and commending the 2011 National Veterans Wheelchair Games, to be held in Pittsburgh, Pennsylvania August 1, through August 6, 2011.",Democratic,07/30/2011
"H.R. 822",https://www.congress.gov/bill/112th-congress/house-bill/822,"112th Congress (2011-2012)","National Right-to-Carry Reciprocity Act of 2011",Republican,02/18/2011
"H.Res. 187",https://www.congress.gov/bill/112th-congress/house-resolution/187,"112th Congress (2011-2012)","Supporting the goals and ideals of National Public Health Week.",Democratic,03/30/2011
"S.Res. 125",https://www.congress.gov/bill/112th-congress/senate-resolution/125,"112th Congress (2011-2012)","A resolution supporting the goals and ideals of National Public Health Week.",Democratic,03/31/2011
"H.Res. 352",https://www.congress.gov/bill/112th-congress/house-resolution/352,"112th Congress (2011-2012)","Calling for a peaceful and collaborative resolution of maritime territorial disputes in the South China Sea and its environs and other maritime areas adjacent to the East Asian mainland.",Republican,07/15/2011
"S.Res. 150",https://www.congress.gov/bill/112th-congress/senate-resolution/150,"112th Congress (2011-2012)","A resolution calling for the protection of religious minority rights and freedoms in the Arab world.",Republican,04/14/2011
"H.Res. 532",https://www.congress.gov/bill/112th-congress/house-resolution/532,"112th Congress (2011-2012)","Expressing the sense of the House of Representatives that the President of the United States should appoint a special counsel to investigate Operation Fast and Furious and the Attorney General's knowledge and management of Operation Fast and Furious.",Republican,02/01/2012
"H.R. 4485",https://www.congress.gov/bill/112th-congress/house-bill/4485,"112th Congress (2011-2012)","Credible Military Option to Counter Iran Act",Republican,04/24/2012
"H.Res. 612",https://www.congress.gov/bill/112th-congress/house-resolution/612,"112th Congress (2011-2012)","Honoring the life of 17-year-old, Trayvon Martin, urging the State of Florida and others to repeal the Stand Your Ground law, and admonishing involved parties to pursue full investigations into all homicides, regardless of defenses asserted by the offender.",Democratic,03/30/2012
"H.R. 6313",https://www.congress.gov/bill/112th-congress/house-bill/6313,"112th Congress (2011-2012)","To promote peaceful and collaborative resolution of maritime territorial disputes in the South China Sea and its environs and other maritime areas adjacent to the East Asian mainland.",Democratic,08/02/2012
"H.R. 2600",https://www.congress.gov/bill/112th-congress/house-bill/2600,"112th Congress (2011-2012)","National Pediatric Acquired Brain Injury Plan Act of 2011",Republican,07/20/2011
"S. 798",https://www.congress.gov/bill/112th-congress/senate-bill/798,"112th Congress (2011-2012)","Veterans' Heritage Firearms Act of 2011",Democratic,04/12/2011
"H.R. 6036",https://www.congress.gov/bill/112th-congress/house-bill/6036,"112th Congress (2011-2012)","Haqqani Network Terrorist Designation Act of 2012",Republican,06/27/2012
"H.R. 420",https://www.congress.gov/bill/112th-congress/house-bill/420,"112th Congress (2011-2012)","Veterans' Heritage Firearms Act of 2011",Republican,01/25/2011
"H.R. 367",https://www.congress.gov/bill/112th-congress/house-bill/367,"112th Congress (2011-2012)","Freedom to Serve Without Fear Act of 2011",Democratic,01/20/2011
"S.Res. 148",https://www.congress.gov/bill/112th-congress/senate-resolution/148,"112th Congress (2011-2012)","A resolution calling on the President to submit to Congress a detailed description of United States policy objectives in Libya, both during and after Muammar Qaddafi's rule, and a plan to achieve them, and to seek congressional authorization for the use of military force against Libya.",Republican,04/14/2011
"S. 1691",https://www.congress.gov/bill/112th-congress/senate-bill/1691,"112th Congress (2011-2012)","Firearms Interstate Commerce Reform Act",Democratic,10/12/2011
"H.R. 2065",https://www.congress.gov/bill/112th-congress/house-bill/2065,"112th Congress (2011-2012)","Second Chance for Ex-Offenders Act of 2011",Democratic,06/01/2011
"H.Res. 429",https://www.congress.gov/bill/112th-congress/house-resolution/429,"112th Congress (2011-2012)","Expressing the sense of the House of Representatives that the Western Hemisphere should be included in the Administration's 2012 National Strategy for Counterterrorism's ""Area of Focus"", with specific attention on the counterterrorism threat to the homeland emanating from Iran's growing presence and activity in the Western Hemisphere, and for other purposes.",Republican,10/11/2011
"H.R. 58",https://www.congress.gov/bill/112th-congress/house-bill/58,"112th Congress (2011-2012)","Firearms Interstate Commerce Reform Act",Republican,01/05/2011
"H.R. 3131",https://www.congress.gov/bill/112th-congress/house-bill/3131,"112th Congress (2011-2012)","To direct the Secretary of State to submit a report on whether any support organization that participated in the planning or execution of the recent Gaza flotilla attempt should be designated as a foreign terrorist organization and any actions taken by the Department of State to express gratitude to the government of Greece for preventing the Gaza flotilla from setting sail in contravention of Israel's legal blockade of Gaza, and for other purposes.",Republican,10/06/2011
"H.Res. 164",https://www.congress.gov/bill/112th-congress/house-resolution/164,"112th Congress (2011-2012)","Expressing the condolences of the House of Representatives to the people of the Islamic Republic of Pakistan upon the assassination of Shahbaz Bhatti, Minister for Minorities, who courageously advocated for religious freedom and tolerance in Pakistan and calling on the United States to renew its efforts with international partners in the Human Rights Council and the United Nations General Assembly to promote religious freedom and tolerance in accordance with international human rights standards.",Republican,03/10/2011
"H.R. 6680",https://www.congress.gov/bill/112th-congress/house-bill/6680,"112th Congress (2011-2012)","Blair Holt's Firearm Licensing and Record of Sale Act of 2012",Democratic,12/18/2012
"H.R. 1093",https://www.congress.gov/bill/112th-congress/house-bill/1093,"112th Congress (2011-2012)","Bureau of Alcohol, Tobacco, Firearms, and Explosives Reform Act of 2011",Republican,03/15/2011
"H.R. 1896",https://www.congress.gov/bill/112th-congress/house-bill/1896,"112th Congress (2011-2012)","COPS Improvements Act of 2011",Democratic,05/13/2011
"S. 207",https://www.congress.gov/bill/112th-congress/senate-bill/207,"112th Congress (2011-2012)","COPS Improvements Act of 2011",Democratic,01/26/2011
"H.R. 1321",https://www.congress.gov/bill/112th-congress/house-bill/1321,"112th Congress (2011-2012)","North Korea Sanctions and Diplomatic Nonrecognition Act of 2011",Republican,04/01/2011
"H.R. 2322",https://www.congress.gov/bill/112th-congress/house-bill/2322,"112th Congress (2011-2012)","Burt Lake Band of Ottawa and Chippewa Indians Reaffirmation Act",Republican,06/23/2011
"S. 1670",https://www.congress.gov/bill/112th-congress/senate-bill/1670,"112th Congress (2011-2012)","End Racial Profiling Act of 2011",Democratic,10/06/2011
"H.R. 3618",https://www.congress.gov/bill/112th-congress/house-bill/3618,"112th Congress (2011-2012)","End Racial Profiling Act of 2011",Democratic,12/08/2011
"S. 1253",https://www.congress.gov/bill/112th-congress/senate-bill/1253,"112th Congress (2011-2012)","National Defense Authorization Act for Fiscal Year 2012",Democratic,06/22/2011
"S. 1569",https://www.congress.gov/bill/112th-congress/senate-bill/1569,"112th Congress (2011-2012)","Empowering Local Educational Decisionmaking Act of 2011",Republican,09/15/2011
"S. 1867",https://www.congress.gov/bill/112th-congress/senate-bill/1867,"112th Congress (2011-2012)","National Defense Authorization Act for Fiscal Year 2012",Democratic,11/15/2011
"H.R. 1540",https://www.congress.gov/bill/112th-congress/house-bill/1540,"112th Congress (2011-2012)","National Defense Authorization Act for Fiscal Year 2012",Republican,04/14/2011
"S. 1255",https://www.congress.gov/bill/112th-congress/senate-bill/1255,"112th Congress (2011-2012)","Military Construction Authorization Act for Fiscal Year 2012",Democratic,06/22/2011
"S. 919",https://www.congress.gov/bill/112th-congress/senate-bill/919,"112th Congress (2011-2012)","Successful, Safe, and Healthy Students Act of 2011",Democratic,05/09/2011
"S. 3254",https://www.congress.gov/bill/112th-congress/senate-bill/3254,"112th Congress (2011-2012)","National Defense Authorization Act for Fiscal Year 2013",Democratic,06/04/2012
"H.R. 1823",https://www.congress.gov/bill/112th-congress/house-bill/1823,"112th Congress (2011-2012)","Criminal Code Modernization and Simplification Act of 2011",Republican,05/10/2011
"H.R. 4310",https://www.congress.gov/bill/112th-congress/house-bill/4310,"112th Congress (2011-2012)","National Defense Authorization Act for Fiscal Year 2013",Republican,03/29/2012
"H.R. 2829",https://www.congress.gov/bill/112th-congress/house-bill/2829,"112th Congress (2011-2012)","United Nations Transparency, Accountability, and Reform Act of 2011",Republican,08/30/2011
"H.R. 3070",https://www.congress.gov/bill/112th-congress/house-bill/3070,"112th Congress (2011-2012)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2012",Republican,09/29/2011
"H.R. 3989",https://www.congress.gov/bill/112th-congress/house-bill/3989,"112th Congress (2011-2012)","Student Success Act",Republican,02/09/2012
"S. 2323",https://www.congress.gov/bill/112th-congress/senate-bill/2323,"112th Congress (2011-2012)","Commerce, Justice, Science, and Related Agencies Appropriations Act, 2013",Democratic,04/19/2012
"S. 1848",https://www.congress.gov/bill/112th-congress/senate-bill/1848,"112th Congress (2011-2012)","United Nations Transparency, Accountability, and Reform Act of 2011",Republican,11/10/2011
"S. 1572",https://www.congress.gov/bill/112th-congress/senate-bill/1572,"112th Congress (2011-2012)","Commerce, Justice, Science, and Related Agencies Appropriations Act, 2012",Democratic,09/15/2011
"H.R. 1950",https://www.congress.gov/bill/112th-congress/house-bill/1950,"112th Congress (2011-2012)","To enact title 54, United States Code, ""National Park System"", as positive law.",Republican,05/23/2011
"S. 1599",https://www.congress.gov/bill/112th-congress/senate-bill/1599,"112th Congress (2011-2012)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2012",Democratic,09/22/2011
"S. 981",https://www.congress.gov/bill/112th-congress/senate-bill/981,"112th Congress (2011-2012)","National Defense Authorization Act for Fiscal Year 2012",Democratic,05/12/2011
"S. 3295",https://www.congress.gov/bill/112th-congress/senate-bill/3295,"112th Congress (2011-2012)","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2013",Democratic,06/14/2012
"S. 3578",https://www.congress.gov/bill/112th-congress/senate-bill/3578,"112th Congress (2011-2012)","Elementary and Secondary Education Reauthorization Act of 2011",Democratic,09/20/2012
"H.R. 2055",https://www.congress.gov/bill/112th-congress/house-bill/2055,"112th Congress (2011-2012)","Consolidated Appropriations Act, 2012",Republican,05/31/2011
"H.R. 2112",https://www.congress.gov/bill/112th-congress/house-bill/2112,"112th Congress (2011-2012)","Consolidated and Further Continuing Appropriations Act, 2012",Republican,06/03/2011
"H.R. 3671",https://www.congress.gov/bill/112th-congress/house-bill/3671,"112th Congress (2011-2012)","Consolidated Appropriations Act, 2012",Republican,12/14/2011
"H.R. 4348",https://www.congress.gov/bill/112th-congress/house-bill/4348,"112th Congress (2011-2012)",MAP-21,Republican,04/16/2012
"S. 418",https://www.congress.gov/bill/112th-congress/senate-bill/418,"112th Congress (2011-2012)","A bill to award a Congressional Gold Medal to the World War II members of the Civil Air Patrol.",Democratic,02/28/2011
"H.R. 719",https://www.congress.gov/bill/112th-congress/house-bill/719,"112th Congress (2011-2012)","To award a Congressional Gold Medal to the World War II members of the Civil Air Patrol.",Democratic,02/15/2011
"H.R. 257",https://www.congress.gov/bill/111th-congress/house-bill/257,"111th Congress (2009-2010)","Child Gun Safety and Gun Access Prevention Act of 2009",Democratic,01/07/2009
"H.R. 2324",https://www.congress.gov/bill/111th-congress/house-bill/2324,"111th Congress (2009-2010)","Gun Show Loophole Closing Act of 2009",Republican,05/07/2009
"S. 843",https://www.congress.gov/bill/111th-congress/senate-bill/843,"111th Congress (2009-2010)","Gun Show Background Check Act of 2009",Democratic,04/21/2009
"H.R. 4298",https://www.congress.gov/bill/111th-congress/house-bill/4298,"111th Congress (2009-2010)","Gun Trafficking Prevention Act of 2009",Democratic,12/11/2009
"S. 2878",https://www.congress.gov/bill/111th-congress/senate-bill/2878,"111th Congress (2009-2010)","Gun Trafficking Prevention Act of 2009",Democratic,12/11/2009
"H.R. 5827",https://www.congress.gov/bill/111th-congress/house-bill/5827,"111th Congress (2009-2010)","Protecting Gun Owners in Bankruptcy Act of 2010",Democratic,07/22/2010
"S. 3654",https://www.congress.gov/bill/111th-congress/senate-bill/3654,"111th Congress (2009-2010)","Protecting Gun Owners in Bankruptcy Act of 2010",Democratic,07/27/2010
"H.R. 6137",https://www.congress.gov/bill/111th-congress/house-bill/6137,"111th Congress (2009-2010)","Preventing Gun Violence Act",Democratic,09/15/2010
"H.R. 1303",https://www.congress.gov/bill/111th-congress/house-bill/1303,"111th Congress (2009-2010)","CAN DO Act of 2009",Democratic,03/04/2009
"H.Res. 1365",https://www.congress.gov/bill/111th-congress/house-resolution/1365,"111th Congress (2009-2010)","Commending the National Rifle Association for developing the Eddie Eagle GunSafe Program and teaching 23,000,000 children its lifesaving message.",Democratic,05/18/2010
"H.R. 3021",https://www.congress.gov/bill/111th-congress/house-bill/3021,"111th Congress (2009-2010)","Citizens Protection Act of 2009",Republican,06/24/2009
"H.R. 5150",https://www.congress.gov/bill/111th-congress/house-bill/5150,"111th Congress (2009-2010)","To restore Second Amendment rights in the District of Columbia.",Democratic,04/27/2010
"S. 3265",https://www.congress.gov/bill/111th-congress/senate-bill/3265,"111th Congress (2009-2010)","Second Amendment Enforcement Act",Republican,04/27/2010
"H.R. 5162",https://www.congress.gov/bill/111th-congress/house-bill/5162,"111th Congress (2009-2010)","To restore Second Amendment rights in the District of Columbia.",Democratic,04/28/2010
"H.R. 2202",https://www.congress.gov/bill/111th-congress/house-bill/2202,"111th Congress (2009-2010)","Child Safety and Home Security Act of 2009",Democratic,04/30/2009
"S. 160",https://www.congress.gov/bill/111th-congress/senate-bill/160,"111th Congress (2009-2010)","District of Columbia House Voting Rights Act of 2009","Independent Democrat",01/06/2009
"H.R. 3022",https://www.congress.gov/bill/111th-congress/house-bill/3022,"111th Congress (2009-2010)","Second Amendment Protection Act of 2009",Republican,06/24/2009
