Classification,Sentiment Scores
control,1.0
control,-0.9973
control,0.8918
control,-0.9993
control,-0.9725
control,0.9724
control,-0.9774
control,0.7717
control,-0.9634
control,0.6896
control,-0.9969
control,0.8788
control,0.8282
control,-0.9979
control,-0.9954
control,-0.2023
control,0.7964
control,0.8614
control,-0.8506
control,0.988
control,0.987
control,0.9999
control,0.6486
control,-0.896
control,-0.9991
control,0.99
control,-0.9979
control,1.0
control,0.5267
control,-0.9998
control,0.743
control,0.9975
control,0.9955
control,-0.9959
control,0.9701
control,0.992
control,-0.9997
control,0.9953
control,0.8182
control,-0.9999
control,-1.0
control,0.9654
control,1.0
control,-1.0
control,-1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-0.9999
control,-1.0
control,-1.0
control,-1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-1.0
control,-0.9973
control,-0.9993
control,-0.9984
control,-0.9983
control,-0.9468
control,0.9675
control,0.9978
control,-0.9987
control,0.911
control,0.911
control,-0.9994
control,0.978
control,0.2846
control,-0.9963
control,-0.9719
control,0.2263
control,0.986
control,-0.896
control,0.9956
control,1.0
control,-1.0
control,0.9989
control,0.7003
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,0.4939
control,0.9998
control,1.0
control,-0.9984
control,0.5454
control,0.9511
control,-1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-0.9973
control,-0.9984
control,-0.9993
control,-0.9983
control,0.6597
control,-0.9953
control,-0.9468
control,-0.9928
control,-0.9904
control,0.9973
control,0.9898
control,0.9898
control,-0.9936
control,0.9996
control,0.9896
control,-0.896
control,0.9925
control,0.9995
control,0.9995
control,0.9999
control,-0.9998
control,-0.9966
control,-0.9934
control,0.9897
control,-0.9948
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-0.9987
control,0.0258
control,-0.9973
control,0.9313
control,-0.7583
control,0.971
control,-0.9984
control,-0.9993
control,0.5106
control,0.9994
control,-0.5719
control,0.908
control,-0.9976
control,-0.9741
control,-0.9466
control,-0.6037
control,-0.6037
control,0.9901
control,0.9979
control,-0.9926
control,-0.5475
control,0.9604
control,-0.5475
control,-0.8402
control,0.9605
control,-0.9842
control,0.9972
control,-0.9538
control,0.9141
control,-0.8038
control,-0.9997
control,-0.9997
